date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status
2025-02-01,ANNUAL REFERENCE ONLY,0.9,0.25,6000.0,2,6000.0,optimal,optimal,21719.94543355953,0.0,0.0,2,9642.039444444446,optimal,optimal,-984.1827128643608,0.0,3016.4040319831397,0.6203361283146992,2,7124.128017037038,optimal,optimal,-75.30368939828152,0.0,195.58070701927818,0.5219275667876406,2,10197.944476851852,optimal,optimal,-30.973470065879933,0.0,62.756499171064675,0.5,1200.0000001,1200.0000001,10800.000000000002,-1090.4598723285221,31.8888543286636,115.43195186619919,20744.917513097203,2,30842.75540372068,0,1.0000030670198612e-07,optimal,optimal,optimal
2025-02-02,ANNUAL REFERENCE ONLY,0.9,0.25,1200.0000001,3,1200.0000001,optimal,optimal,57517.54812983773,0.0,0.0,3,10771.232306534266,optimal,optimal,-1230.905150597035,9.157730099887885,3718.264355536664,0.630420805544078,3,7656.592467969518,optimal,optimal,-331.93170582898233,29.538682462047518,1163.922857494195,0.5328440473078151,3,10800.0,optimal,optimal,9.99963620211929e-08,1.57972224536069e-07,1.1368683772161603e-13,0.5,1225.0407358327361,1200.0000001,10800.0,-1562.8368563260208,12.212987546772625,26.459437518749873,55981.170711030456,1,40766.17092579353,0,1.0000485417549498e-07,optimal,optimal,optimal
2025-02-03,ANNUAL REFERENCE ONLY,0.9,0.25,1225.0407358327361,4,1225.0407358327361,optimal,optimal,59093.48325071162,0.0,0.0,4,10794.161419753087,optimal,optimal,-1626.7411086855363,0.0,4624.542503464869,0.6081206271476367,4,7638.409423039329,optimal,optimal,-515.3194351759748,0.0,1537.89575748764,0.5188848576958215,4,10786.822222222223,optimal,optimal,22.276638099995733,11.859999999999198,0.0,0.5,1277.7602025957517,1225.0407358327361,10800.0,-2119.7839057615156,104.40272012886243,391.4275183615578,57365.12686331167,6,41442.29992097204,0,1.0001531336456537e-07,optimal,optimal,optimal
2025-02-04,ANNUAL REFERENCE ONLY,0.9,0.25,1277.7602025957517,5,1277.7602025957517,optimal,optimal,60971.52230515436,0.0,0.0,5,10799.999999999998,optimal,optimal,-1334.8143194555164,159.7802744378369,4231.80187666703,0.604213286359979,5,7942.732885092671,optimal,optimal,-848.0840445519361,0.0,2483.7646664562244,0.5361436228440177,5,10792.654320987655,optimal,optimal,12.41765010000305,6.611111111110888,0.0,0.5,1274.1064432698436,1274.1064432698436,10800.0,-2170.4807139074496,83.70572715419613,223.29167144809873,59024.33326269501,6,42191.69591483348,0,1.0000803740695119e-07,optimal,optimal,optimal
2025-02-05,ANNUAL REFERENCE ONLY,0.9,0.25,1274.1064432698436,6,1274.1064432698436,optimal,optimal,57353.28572830621,0.0,0.0,6,10800.0,optimal,optimal,-267.1869822436353,336.8706296869674,1899.7964132362313,0.6073189178332172,6,7057.38118332164,optimal,optimal,-408.1269078834092,0.0,1094.727401753643,0.5500793609993078,6,10800.000000000002,optimal,optimal,1e-07,2.1627885116566735e-07,1.751877968965586e-07,0.5,1277.087736885722,1274.1064432698436,10800.000000000002,-675.3138900270445,134.38244404140931,426.80301909670857,57104.77485737588,7,42260.00712871004,0,1.000112206384074e-07,optimal,optimal,optimal
2025-02-06,ANNUAL REFERENCE ONLY,0.9,0.25,1277.087736885722,7,1277.087736885722,optimal,optimal,61391.93015291432,0.0,0.0,7,10797.222530864196,optimal,optimal,-1815.589376273304,0.0,4965.723174539263,0.6235349872124988,7,7765.633397533627,optimal,optimal,-1117.347604301002,0.0,3153.471201972347,0.5707119684648804,7,10796.047530864198,optimal,optimal,6.681530599990913,3.5572222222226153,1.2505552149377763e-12,0.5,1278.704378157239,1277.087736885722,10800.0,-2926.2554499743155,106.16394737009898,232.2536804729187,58697.928383412924,4,41791.39170871438,0,1.0000508154917043e-07,optimal,optimal,optimal
2025-02-07,ANNUAL REFERENCE ONLY,0.9,0.25,1278.704378157239,8,1278.704378157239,optimal,optimal,23851.72072837356,0.0,0.0,8,10018.20918856481,optimal,optimal,-910.8759252884272,0.0,3046.1689953387045,0.6423505795163891,8,7397.719001932886,optimal,optimal,-478.11078029289183,0.0,1639.8628938072286,0.6644873138638798,8,9857.922070987655,optimal,optimal,-9.330032625282763,2.1627473185877364e-07,18.903926272400938,0.5,1320.8816027725682,1210.2488996913573,10800.0,-1398.3167382066017,107.51145435483443,426.8322420687707,22880.236232235726,4,35506.69757674808,0,1.0000258043874055e-07,optimal,optimal,optimal
2025-02-08,ANNUAL REFERENCE ONLY,0.9,0.25,1320.8816027725682,9,1320.8816027725682,optimal,optimal,19424.548034831718,0.0,0.0,9,8242.787497370382,optimal,optimal,-104.94118497429996,7.326614365056685,294.7452128421651,0.6251944679866634,9,7403.9601540370495,optimal,optimal,-22.44188726010075,0.9439153216314935,56.56841389085637,0.7212701175370082,9,9849.687000841885,optimal,optimal,180.92621674656235,125.93790892067346,35.08105583333514,0.5,1340.9964118699256,1268.093527777773,10800.0,53.54314451216163,247.85580426316295,880.1652821012028,20358.256461445082,15,34607.40362036855,0,1.0001167538575828e-07,optimal,optimal,optimal
2025-02-09,ANNUAL REFERENCE ONLY,0.9,0.25,1340.9964118699256,10,1340.9964118699256,optimal,optimal,56985.857125545364,0.0,0.0,10,10798.01286111111,optimal,optimal,-768.4629026791162,0.36215565518421045,1818.4737788712866,0.6518986649382474,10,8071.035553913798,optimal,optimal,-699.8100620893464,1.3160633682961134,2184.3392496492434,0.7139956059165149,10,10767.603727927324,optimal,optimal,21.80114135739783,18.44831153207531,15.398746906124098,0.5,1294.7725631162673,1290.434279907404,10800.0,-1446.4718234110646,125.97083898409304,472.01529352389144,56011.4005956582,6,41305.68219981941,0,1.0001531336456537e-07,optimal,optimal,optimal
2025-02-10,ANNUAL REFERENCE ONLY,0.9,0.25,1294.7725631162673,11,1294.7725631162673,optimal,optimal,54050.6707679425,0.0,0.0,11,10166.123414552472,optimal,optimal,-2221.285385539967,0.302668587834205,6211.445603563929,0.632296215923355,11,7605.153757887789,optimal,optimal,334.33853411915857,486.1856233085594,791.7726682287674,0.7122470447481396,11,10800.0,optimal,optimal,-11.562962377342808,0.0,28.820693294277895,0.5,1204.7374252454226,1204.7374252454226,10800.000000000002,-1898.5098137981513,202.71168247792588,482.7860116731452,52634.94696581749,4,40905.698186425536,0,1.0000803740695119e-07,optimal,optimal,optimal
